BHF;EBHF;EVA;EPA;Vbd
Berlin Friedrichstr;8010038;8011306;8010125;VBB
Berlin-Frohnau;8011268;8089061;0;VBB
Berlin Gehrenseestr.;8011273;8089014;0;VBB
Berlingen(CH);8565361;8506135;0;
Berlin Gesundbr. (S);8022286;8089015;0;
Berlin Gesundbrunnen;8011102;8011102;8010102;VBB
Berlin Greifswald.St;8011135;8089011;0;VBB
Berlin-Grünau;8011274;8089063;0;VBB
Berlin Grünbergallee;8030286;8089016;0;
Berlin Grünbg.allee;8011275;0;0;VBB
Berlin-Grunewald;8011276;8089062;8010137;VBB
Berlin Hackescher M.;8011158;8089017;0;VBB
Berlin-Halensee;8011204;8089109;0;VBB
Berlin Hbf;8011160;8011160;8010100;VBB
Berlin Hbf (Europapl;8070952;8070952;0;
Berlin Hbf (S-Bahn);8061160;8089021;0;
Berlin Hbf (tief);8098160;8098160;0;
Berlin Hbf (Washingt;8071076;8071068;0;
Berlin Heerstraße;8011279;8089329;0;VBB
Berlin Heidelberg.Pl;8011136;8089112;0;VBB
Berlin-Heiligensee;8011280;8089025;0;VBB
Berlin Hermannstr.;8011137;0;0;VBB
Berlin Hermannstraße;8084970;8089105;0;
Berlin-Hermsdorf;8011287;8089064;0;VBB
Berlin-Hirschgarten;8011289;8089065;0;VBB
Berlin-Hohenschönh.;8011901;8011901;0;VBB
Berlin Hohenzollernd;8011145;8089108;0;VBB
Berlin Humboldthain;8011147;8089018;0;VBB
Berlin Innsbrucker P;8011148;8089106;0;VBB
Berlin Jannowitzbr.;8011159;8089019;0;VBB
Berlin Julius-Leber-;8089537;8089537;0;
Berlin Jul.-Leber-Br;8011092;0;0;VBB
Berlin Jungfernheide;8011167;8011167;0;VBB
Berlin Jungfernheide;8089100;8089100;0;
Berlin-Karlshorst;8010035;8010035;0;VBB
Berlin-Karow;8011046;8011046;0;VBB
Berlin-Karow (S);8089189;8089189;0;
Berlin-Kaulsdorf;8011291;8089068;0;VBB
Berlin K-B.-N.klinik;8011295;8089102;0;VBB
Berlin Kölln.Heide;8011313;0;0;VBB
Berlin Köllnische He;8076970;8089104;0;
Berlin-Köpenick;8011332;8089069;0;VBB
Berlin Landsberger A;8011151;8089020;0;VBB
Berlin-Lankwitz;8011333;8089114;0;VBB
Berlin-Lichtenberg;8010036;8010036;8010111;VBB
Berlin-Lichtenrade;8011337;8089070;0;VBB
Berlin-Lichterfelde;8089113;8089113;0;
Berlin-Lichterf.Ost;8011041;8011041;0;VBB
Berlin-Lichterf.Süd;8011156;8089472;0;VBB
Berlin-Lichterf.West;8011338;8089071;0;VBB
Berlin-Mahlsdorf;8011343;8089072;0;VBB
Berlin-Marienfelde;8011345;8089074;0;VBB
Berlin-Marzahn;8011347;8089075;0;VBB
Berlin Mehrow.Allee;8011348;0;0;VBB
Berlin Mehrower Alle;8078286;8089022;0;
Berlin MesseNord/ICC;8011166;8089110;0;VBB
Berlin MesseS(Eichk);8011350;0;0;VBB
Berlin Messe Süd (Ei;8049223;8089328;0;
Berlin Mexikoplatz;8011353;8089023;0;VBB
Berlin-Neukölln;8011207;8089077;0;VBB
Berlin-Nikolassee;8011359;8089078;0;VBB
Berlin Nöldnerplatz;8011161;8089026;0;VBB
Berlin Nordbahnhof;8011174;8089024;0;VBB
Berlin-Oberspree;8011365;8089079;0;VBB
Berlin Olympiastad.;8011367;8089330;0;VBB
Berlin Oranienb.Str.;8011175;8089027;0;VBB
Berlin Osdorfer Str.;8011369;8089473;0;VBB
Berlin Ostbahnhof;8010255;8010255;8010110;VBB
Berlin Ostkreuz;8011162;8011162;8010138;VBB
Berlin Ostkreuz (S);8089028;8089028;0;
Berlin-Pankow;8011372;8089080;0;VBB
Berlin-Pankow-Hein.;8011374;0;0;VBB
Berlin-Pankow-Heiner;8067086;8089081;0;
Berlin-Pichelsberg;8011375;8089331;0;VBB
Berlin Plänterwald;8011379;8089030;0;VBB
Berlin Poelchaustr.;8011391;8089031;0;VBB
Berlin Potsdamer Pl;8011118;8011118;0;VBB
Berlin Potsdamer Pla;8079086;8089032;0;
Berlin Prenzlauer Al;8011180;8089033;0;VBB
Berlin Priesterweg;8011394;8089034;0;VBB
Berlin-Rahnsdorf;8011410;8089082;0;VBB
Berlin Raoul-Wallenb;8023886;8089035;0;
Berlin Rath.Steglitz;8011432;8089036;0;VBB
Berlin-Rummelsburg;8011441;8089084;0;VBB
Berlin R-Wallenbg-St;8011443;0;0;VBB
Berlin Savignyplatz;8011163;8089037;0;VBB
Berlin Schichauweg;8011444;8089038;0;VBB
Berlin-Schlachtensee;8011445;8089085;0;VBB
Berlin-Schöneberg;8011109;8089474;0;VBB
Berlin-Schönef.Flug;8060109;8010109;8010120;
Berlin-Schönef.Flu.T;8089502;8089486;0;
Berlin-Schöneweide;8010041;8010041;8010115;VBB
Berlin-Schöneweide (;8089168;8089168;0;
Berlin Schönh.Allee;8011182;8089039;0;VBB
Berlin-Schönholz;8011448;8089087;0;VBB
Berlin-Schulzendorf;8011452;8089000;0;VBB
Berlin Sonnenallee;8011186;8089327;0;VBB
Berlin-Spandau;8010404;8010404;8010133;VBB
Berlin-Spindlersfeld;8011457;8089088;0;VBB
Berlin Springpfuhl;8011459;8089040;0;VBB
Berlin-Staaken;8013021;8013021;0;VBB
Berlin Storkower Str;8011192;8089041;0;VBB
Berlin-Stresow;8011461;8089053;0;VBB
Berlin Südende;8011463;8089115;0;VBB
Berlin Südkreuz;8011113;8011113;8010101;VBB
Berlin Südkreuz (Bus;8089067;8089067;0;
Berlin Südkreuz (S);8080654;8089073;0;
Berlin Sundgauer Str;8011467;8089042;0;VBB
Berlin-Tegel;8011475;0;0;VBB
Berlin-Tegel (S);8051886;8089089;0;
Berlin-Tempelhof;8011217;8089090;0;VBB
Berlin-Tiergarten;8011164;8089091;0;VBB
Berlin Treptower Pk;8011117;8089043;0;VBB
Berlin(Übergang);9000100;0;0;
Berlin-Waidmannslust;8011478;8089092;0;VBB
Berlin Wannsee;8010405;8010405;8010135;VBB
Berlin Warschauer St;8011165;8089045;0;VBB
Berlin-Wartenberg;8011479;8089093;0;VBB
Berlin-Wedding;8011220;8089131;0;VBB
Berlin Westend;8011196;8089111;0;VBB
Berlin Westhafen;8011197;8089116;0;VBB
Berlin Westkreuz;8011108;8089047;0;VBB
Berlin-Wilhelmshagen;8011485;8089094;0;VBB
Berlin-Wilhelmsruh;8011498;8089095;0;VBB
Berlin-Witten.(WhrD);8011499;8089096;0;VBB
Berlin Wollankstr;8011501;0;0;VBB
Berlin Wollankstraße;8048686;8089048;0;
Berlin Wuhletal;8011504;8089049;0;VBB
Berlin-Wuhlheide;8011511;8089097;0;VBB
Berlin-Wuhlheide Rbf;8013557;0;0;
Berlin Yorckstraße;8011198;0;0;VBB
Berlin Yorckstr.(S1);8072686;8089051;0;
Berlin Yorckstr.(S2);8064686;8089050;0;
Berlin-Zehlendorf;8011514;8089098;0;VBB
Berlin Zoolg. Garten;8010406;8010406;8010130;VBB
Berlin Zoologischer;8089046;8089046;0;
Bermatingen-Ahausen;8000909;8000909;8088909;BOD
Bermering;8738617;8700742;0;
Bern;8507000;8507000;8500031;
Bernac Debat;8787026;8702817;0;
Bernac Dessus Arc;8795026;8702818;0;
Bernalda;8375825;8302389;0;
Bernartice u Trutnov;5447642;5400452;0;
Bernau a Chiemsee;8000911;8000911;8083228;
Bernau(b Berlin);8013470;8013470;8016195;VBB
Bernauer Str.(U), Be;730803;730803;0;
Bernau-Friedenstal;8011521;8089099;0;VBB
Bernay;8744429;8700221;8700767;
Bern Brünnen Westsid;8566154;8516154;0;
Bern Bümpliz Nord;8584873;8504489;0;
Bern Bümpliz Süd;8592873;8504106;0;
Bernburg;8010043;8010043;8006744;MAR
Bernburg-Friedensh;8011168;8011168;0;MAR
Bernburg-Strenzfeld;8011169;8011169;0;MAR
Bernburg-Waldau;8011170;8011170;0;MAR
Berndorf Fabrik;8101325;8100650;0;
Berndorf Stadt;8101324;8100652;0;
Berne;8000913;8000913;0;VBN
Bern Europaplatz;8547643;8504108;0;
Bern  Europaplatz;8568873;8507082;0;
Bern Felsenau;8529673;8508051;0;
Bernhardsthal;8102828;8100457;0;
Bernhausen Bahnhof,;560960;560960;0;
Bernina Diavolezza;8554881;8519370;0;
Bernina Lagalbbahn;8599455;8509373;0;
Bernina Suot;8530473;8509354;0;
Bernolakovo;5655642;5600453;0;
Bern RBS;8545673;8508050;0;
Bernried;8000918;8000918;0;
Bern Stöckacker;8553673;8504495;0;
Bernstorffsvej;8600672;0;0;
Bernstorffsvej st;8650187;8600187;0;
Bernterode;8011172;8011172;0;
Bern Tiefenau;8561673;8508052;0;
Bern Wankdorf;8566163;8516161;0;
Bern Weissenbühl;8569673;8507079;0;
Beroun;5473074;5400036;5473074;
Beroun-Zavodi;5479642;5400456;0;
Berre(Miramas);8796217;8700769;0;
Bersac;8739105;8702301;0;
Bersenbrück;8000919;8000919;8049919;
Berstadt-Bahnhof, Wö;112413;111485;0;
Berstadt-Wohnbach;8000920;0;0;RMV
Bertha-von-Suttner-P;441347;441347;0;
Berthelming;8721533;8700765;0;
Berthelsdorf(Erzgeb);8017210;8010044;0;462
Berthelsdorf Ort;8017218;8017219;0;462
Bertholène;8723826;8702819;0;
Bertrange-Strasse;8200510;0;0;
Bertrange-Strassen;8270180;8270180;0;
Bertrichamps;8796937;8700679;0;
Bertrix;8865300;8800035;0;
Bertry(Busigny);8758617;8700794;0;
Bertschogur;2755063;2700044;2704859;
Berufsschule, Heidel;506906;506906;0;
Berufsschule, Herzog;460862;460862;0;
Berufsschule, Waldki;542254;542254;0;
Berufsschule, Wörth;510748;510748;0;
Berufsschulzentrum,;810193;810193;0;
Berunice;5487642;5400457;0;
Berwick;7053230;7000339;0;
Berwick-upon-Tweed;7088904;7000391;7000010;
Berwick Up Tweed;7077910;0;0;
Berxen;8007252;0;0;468
Berxen Bahnhof, Bruc;640727;605641;0;
Berxen Fahlenkamp, B;606011;606011;0;
Berxen Fahlenkamp, B;614322;614322;0;
Berzee;8873320;8800036;0;
Berzence;5579448;5500298;0;
Berzhahn;8000921;8000921;0;
Berzhahn Ortsmitte;8071529;8071529;0;
Besa;5695642;5600458;0;
Besana;8373481;8301198;0;
Besancon;8771800;0;0;
Besancon Fcte Tgv;8730086;0;0;
Besançon Franche-Com;8780086;8730086;8725001;
Besancon Mouiller;8771801;0;0;
Besançon-Mouillère;8731826;8702820;0;
Besançon-Viotte;8758345;8700044;8700053;
Besch;8000923;8000923;0;SVV
Besch-Arik;2763063;2700048;2704944;
Beschtau;2071063;2000381;2064151;
Besentschuk;2079063;2000383;2024607;
Beshezk;2087063;2000362;2004650;
Beshketovo;2259408;2201115;0;
Besigheim;8000925;8000925;8074380;VVS
Besimjannaja;2023863;2000385;2020875;
Besiny;5424442;5400459;0;
Beska;7216802;7200814;0;
Beskit;2231863;2200252;2218959;
Besko;5108367;5100416;5100282;
Beskol;2739863;2700049;2700755;
Beslan;2047863;2000382;2064025;
Besle(Redon);8782537;8700697;0;
Besnate;8301145;8300668;0;
Besne Pont Chateau;8739826;8702821;0;
Besozzo;8301141;8300667;0;
Bessancourt;8747827;8702822;0;
Bessay;8755826;8702823;0;
Besseringen;8000926;8000926;8001391;SVV
Best;8400112;8400112;0;
Bestamak;2791168;2700459;0;
Bestensee;8011173;8011173;0;VBB
Bestushewo;2066472;2001888;2048016;
Bestwig;8000927;8000927;8059174;VRL
Bestwig(Gem);8040329;0;0;
Betaille;8779826;8702826;0;
Betanzos Ciudad;7192456;7100237;0;
Betanzos-Infesta;7123560;7100021;7120400;
Betel Hc.;5372589;5322589;0;
Betesti;5383526;5333526;0;
Bethune;8734200;8700245;8700858;
Betra Horb (N), Horb;556474;556474;0;
Betriebshof OVF, Gem;468292;468292;0;
Betriebshof RBI, Isn;846628;846628;0;
Bettborn;8764937;8700675;0;
Bettembourg;8200603;8200603;8200603;
Bettembourg(fr);8200235;8271141;0;
Bettembourg(fr);8719197;0;0;
Betten BAB;8564456;8530243;0;
Betten Dorf;8572456;8501955;0;
Betten Talstation;8501675;8501675;8500022;
Bettenwarfen, Neuhar;602039;602039;0;
Bettlach;8546473;8500203;0;
Bettmannsäge;8000928;8000928;8001275;WBV
Bettmeralp;8501954;8501954;0;
Betton;8795826;8702828;0;
Bettwiesen;8506182;8506182;0;
Betws-Y-Coed;7024490;0;0;
Betws-y-Coed;7050409;7000409;0;
Betzdorf;8200318;0;0;
Betzdorf(LUX);8245510;8270210;0;
Betzdorf(Sieg);8000034;8000034;8057215;VRM
Betzdorf (TGem);8040443;0;0;
Betzdorf Wallmenroth;416006;416006;0;
Betzigau;8000930;0;0;
Betzingen Bahnhof, R;750229;750229;0;
Betzingen Im Dorf, R;750236;750236;0;
Betzingen Rathaus, R;750243;750243;0;
Beucha;8010046;8010046;0;MDV
Beuel Konrad-Adenaue;441800;441800;0;
Beuggen;8000932;8000932;0;RVL
Beuggen Bahnhof, Rhe;502059;502059;0;
Beuna(Geiseltal);8011177;8011177;0;MDV
Beura-Cardezza;8301007;0;0;
Beuren;8011178;8011178;0;
Beuron;8000933;8000933;8001297;NAL
Beuson (Nendaz), vil;8584951;8570859;0;
Beutelsbach;8000934;8000934;0;VVS
Beutersitz;8011179;8011179;0;VBB
Beuvrages;8791337;8700708;0;
Beuvry;8724626;8702829;0;
Beuxes;8732626;8702830;0;
Beuzet;8861424;8800539;0;
Bevaix;8562473;8504206;0;
Bever;8562881;8509250;0;
Bevera;8381481;8301199;0;
Beveren;8894748;8800037;0;
Beverlo;8832227;8832227;0;
Beverungen(Gem);8040268;0;0;
Beverwijk;8400113;8400113;0;
Bevieux;8540953;8501488;0;
Bevilacqua;8302391;8301270;0;
Bex;8501402;8501402;8500059;
Bexbach;8000941;8000941;8001175;SVV
Bex-Place-du-Marche;8586473;8501487;0;
Bex Pont-Neuf;8569523;8530064;0;
Beyendorf;8011181;8011181;0;MAR
Beynes;8748627;8702832;0;
Beynost;8777610;8702479;0;
Beyrede;8756626;8702833;0;
Bezbojnik;2031936;2002437;0;
Bezdedovice;5440442;5400461;0;
Bezdekov u Klatov;5448442;5400462;0;
Bezdekov u Radnic;5456442;5400463;0;
Bezdez;5464442;5400464;0;
Bezdonys;2427527;2400221;2400434;
Bezdruzice;5472442;5400465;0;
Bezenye;4347431;0;0;
Bezenye;5587448;5500299;5547431;
Bezerovice;5496442;5400468;0;
Beziers;8778100;8700064;8700078;
Bezmer;5250336;5200336;0;
Bezmerov;5480442;5400466;0;
Bezpravi;5488442;5400467;0;
Bezrechnaya;2039384;2002738;0;
BF Petershausen/Bück;421197;421197;0;
Biache-St-Vaast;8768217;8700716;0;
Biadki;5156250;5100432;0;
Biadoliny;5180250;5100435;0;
Biagioni Lagacci;8359081;8301216;0;
Biala;5148250;5100431;0;
Biala k. Piszu;5150447;5100447;5100848;
Biala Pilska;5196330;5100537;0;
Biala Podlaska;5104080;5100086;5100003;
Bialki Siedleckie;5183530;5100575;0;
Bialogard;5100390;5100001;5100004;
Bialosliwie;5141850;5100450;0;
Bialun;5165050;5100443;0;
Bialy Bor;5152250;5100382;0;
Bialy Dunajec;5169850;5100404;5100284;
Bialy Kosciol;5189850;5100456;0;
Bialystok;5102400;5100002;5100005;
Bialystok Bacieczki;5164250;5100433;5100300;
Bialystok Stadion;5144410;5100581;0;
Bialystok Starosie.;5128410;5100579;5100283;
Bialystok Wiadukt;5156410;5100632;0;
Bianco;8311855;8300833;0;
Bianze;8390281;8301210;0;
Bianzone;8351081;8301215;0;
Biarritz;8767340;8700114;8700206;
Biasca;8505209;8505209;8500066;
Biassono-Lesmo-Parco;8375081;8301218;0;
Biatorbagy;5501057;5500300;0;
Bibelöd;8000946;8000946;0;
Bibenlos-Sonnenhof;8567377;8517377;0;
Biberach(Baden);8000942;8000942;8077177;TGO
Biberach(Riß);8000943;8000943;8088178;DIN
Biberach(Riß) Süd;8000944;8000944;0;BNV
Biberbrugg;8503284;8503284;8500157;
Biberegg;8523273;8503290;0;
Biberist Ost;8531273;8508089;0;
Biberist RBS;8539273;8508068;0;
Bibesti;5373234;5323234;0;
Bibinje;7876316;0;0;
Biblis;8000503;8000503;8068503;VRN
Bibra;8011183;8011183;0;
Bicaz;5353916;5300015;5353916;
Bicere;5518689;5500301;0;
Bichigiu;5393492;5343492;0;
Bichl;8000945;8000945;0;
Bichlbach Almkopfbah;8191006;8101972;0;
Bichlbach-Berwang;8006759;0;0;VVT
Bichlbach-Berwang;8102247;8100114;8100534;
Bichlbach Dorf;8178008;8178008;0;
Bichlb. Almkopfbahn;8006763;0;0;VVT
Bichl im Zillertal;8190862;8100703;0;
Bichl/Zillertal;4102216;0;0;
Bichl/Zillertal;8102216;0;0;
Bichow;2155863;2100264;2100060;
Bickenbach(Bergstr);8000948;8000948;0;RMV
Bicocca;8312338;8300842;8300708;
Bicsadu Oltului;5350141;5300141;0;
Bicserd;5532248;5500302;0;
Bicske;5501081;5500117;5501081;
Bicske also;5540170;5500303;0;
Bidermatten;8569031;8505705;0;
Bidos Rue Jean Mouli;8764626;8702834;0;
Biebesheim;8000951;8000951;0;RMV
Biecz;5188250;5100436;0;
Bieczyno Pomorskie;5149130;5100541;5100298;
Biedenkopf;8000952;8000952;0;RMV
Biedenkopf-Schulzent;8000954;8000954;0;RMV
Biedenkopf (TGem);8040435;0;0;
Biederitz;8010047;8010047;8039716;MAR
Biel/Bienne;8504300;8504300;8500032;
Biel/Bienne Bözingen;8568771;8518771;0;
Bielefeld(Gem);8040244;0;0;
Bielefeld Hbf;8000036;8000036;8033179;OWL
Bielefeld Ost;8000953;8000953;0;OWL
Bielefeld-Senne;8000956;8000956;0;OWL
Biel(Goms);8551668;8501668;0;
Bielin;5149050;5100441;0;
Bieliny Opoczynskie;5163530;5100523;0;
Biella S. Paolo;8300070;8300005;8300006;
Biel Mett;8555273;8504419;8500175;
Bielovce;5633242;5600470;0;
Biel(SK);5625242;5600469;0;
Bielsko Biala Gl.;5107610;0;0;
Bielsko Biala Glowna;5127520;5100316;5100006;
Bielsko Biala Komor.;5173050;5100444;0;
Bielsko Biala Leszc.;5128250;5100379;0;
Bielsko Biala Lipnik;5136250;5100380;0;
Bielsko Biala Mikus.;5144250;5100381;0;
Bielsko Biala Pln;5160250;5100383;0;
Bielsko Biala Wschod;5133050;5100439;0;
Bielsk Podlaski;5102443;5100539;0;
Biendorf;8011184;8011184;0;MAR
Bienenbüttel;8000955;8000955;0;
Bienenmühle;8017211;8011185;0;462
Bieniow;5104136;5100503;5100289;
Bienwaldhalle, Wörth;720288;720288;0;
Bierawa;5133850;5100449;0;
Bierbach;8000357;8000357;8001106;SVV
Bierbacher Str. Schw;402001;402001;0;
Bierbach SPB;8007798;0;0;100
Bierbaum;8103334;0;0;
Bierbaum/Safen;8148862;8100178;8100813;
Bierbaum/Safen Abzw;8165017;8165017;0;
Bieren-Rödinghausen;8000957;8000957;0;OWL
Bierges;8811718;8800499;0;
Bieringen;8000959;8000959;0;NAL
Bierkowice;5190650;5100466;0;
Biernatowo;5177930;5100505;0;
Biersdorf-Ort(Ww);8007113;8007113;0;456
Biersdorf(Westerw);8007076;8007076;0;456
Bierset-Awans;8841319;8800262;0;
Bierutow;5190730;5100566;0;
Bierzwnik;5167610;5100673;0;
Biesal;5181850;5100455;0;
Biesenbach, Weitnau;845395;845395;0;
Biesenthal;8011188;8011188;0;VBB
Biesowice;5152410;5100582;0;
Biessenhofen;8000962;8000962;8087962;
Bietigheim(Baden);8000963;8000963;0;KVV
Bietigheim Bahnhof,;361400;361400;0;
Bietigheim Bahnhof/Z;561596;561596;0;
Bietigheim-Bissingen;8000038;8000038;8074180;VVS
Bietigheim Ellental,;363066;363066;0;
Bietigheim Ellentalg;555211;555211;0;
Bietingen;8000965;8000965;0;VHB
Bietingen Dorfstraße;501380;501380;0;
Bietingen Hohackerst;501680;501680;0;
Bievres;8788626;8702837;0;
Biffontaine;8727337;8700700;0;
Biforco;8327081;8301212;0;
Bifurcacao de Lares;9462027;9400174;0;
Bigenthal;8579273;8508263;0;
Bigge;8000966;8000966;8001298;VRL
Biggleswade;7061700;7000244;0;
Biglen;8587273;8508261;0;
Bigny;8796626;8702838;0;
Bigosovo(Gr);2116140;2125060;0;
Bigosovo(Gr);2521060;0;0;
Bigosowo;2127447;2100151;2100031;
Bihac(Gr);7878940;0;0;
Biharia;5394989;5344989;0;
Biharkeresztes;5514449;5500074;5514449;
Biharkeresztes(Gr);5588496;5501630;0;
Biharkereszt.(Gr);5300942;0;0;
Biharkereszt.(Gr);5509423;0;0;
Biharnagybajom;5548248;5500304;0;
Biisk;2084320;0;0;
Bije;2771336;2700617;0;
Bijelo Brdo;7873974;7800209;0;
Bijelo Polje;6231302;6231302;7200175;
Bijelo Polje(Gr);6231399;6231399;0;
Bijelo Polje(Gr);7215723;0;0;
Bijsk;2051967;2001966;0;
Bikbauli;2763863;2700050;2704901;
Bikin;2071863;2000386;2034580;
Bila Tremesna;5441242;5400471;0;
Bilbao-Abando;7122760;7100011;7113200;
Bilca;5352883;5352883;0;
Bildana;5362364;5312364;0;
Bildstock;8000967;8000967;0;SVV
Bilek;5457242;5400473;0;
Bilfingen;8000968;8000968;0;VPE
Bilfingen, Kämpfelba;940061;940061;0;
Bilgoraj;5106640;5100438;5100828;
Bilina;5454819;5400208;5454819;
Bilina-Chuderice;5473242;5400475;0;
Bilina Kyselka;5465242;5400474;0;
Biljutuj;2088984;2002764;0;
Billeberga;7400288;0;0;
Billeberga station;7450307;7400307;0;
Billenhausen;8000969;8000969;0;
Billerbeck;8000970;8000970;0;VGM
Billerbeck(Gem);8040187;0;0;
Billingstad;7667446;7600283;0;
Billy-Montigny;8729017;8700721;0;
Billy Montigny;8734514;0;0;
Bilovec;5481242;5400476;0;
Bilovice nad Svitavo;5489242;5400477;5433085;
Bilten;8524073;8503224;0;
Bilteni;5368071;5318071;0;
Bilthoven;8400114;8400114;0;
Bily Kostel nad Niso;5497242;5400478;0;
Bily Kostel n.N.;8017494;0;0;418
Bily Potok pod Smrke;5426042;5400479;0;
Bilzen;8831138;8800038;0;
Bina;5634042;5600480;0;
Binau;8000973;8000973;0;VRN
Binche;8882362;8800418;0;
Bincze;5197850;5100457;0;
Bindfelde;8011190;8011190;0;
Bindlach;8000974;8000974;0;VGN
Binefar;7178302;7100410;7178302;
Bingen-Gaulsheim;8000975;8000975;0;RNN
Bingen(Hohenz);8007241;0;0;470
Bingen(Rhein) Hbf;8000039;8000039;8055183;RNN
Bingen(Rhein) KD;8007940;8075968;0;799
Bingen(Rhein) Stadt;8000976;8000976;8055182;RNN
Bingerbrück Abzw. Ha;511256;511256;0;
Bingerbrück Bingen H;406509;406509;0;
Biniew;5129930;5100499;0;
Binolen;8000978;8000978;8058713;VRL
Binovce;5650042;5600482;0;
Bioce;6231312;0;0;
Bioggio;8540073;8505394;0;
Bioggio, Molinazzo;8585142;8580702;0;
Biograd na Moru Auto;7889053;7889052;7880606;
Biot;8775769;0;0;
Biot(Alpes-Maritimes;8745017;8700723;0;
Bira;2087863;2000388;2034590;
Birach;8007102;8007102;0;412
Birakan;2033584;2001812;2034593;
Bircea Mare;5374707;5324707;0;
Bircna vas;7935287;7900076;0;
Birdhill;6070009;0;0;
Birg;8556073;8507456;0;
Birka;2023384;2002736;0;
Birk Centerpark;8600269;0;0;
Birk Centerpark st;8674975;8602985;0;
Birkchul;2056744;2003450;0;
Birkelbach;8000983;8000983;0;VGW
Birkenau;8000984;8000984;0;VRN
Birkenbringhausen;8000985;8000985;0;NVV
Birkenfeld(Enz);8000986;8000986;8075184;VPE
Birkengrund;8011194;8080170;0;VBB
Birkenstein;8011526;8070002;0;VBB
Birkenwerder(b Bln);8011195;8080190;0;VBB
Birkeroed;8600678;0;0;
Birkeroed st;8666489;8600200;0;
Birkungen;8010048;8010048;0;
Birlad;5350016;5300016;5360490;
Birla Pe Sieu;5390933;5340933;0;
Birmensdorf ZH;8502221;8502221;0;
Birmensdorf ZH, Bahn;8545759;8573718;0;
Birmensdorf ZH, Zent;8537759;8502950;0;
Birmingham;7004180;0;0;
Birmingham Intern;7012150;0;0;
Birmingham Internati;7060024;7000228;7000166;
Birmingham Moor S;7045150;0;0;
Birmingham Moor Str;7068024;7000229;0;
Birmingham New Stree;7099936;7000222;7000005;
Birmingham NS;7011270;0;0;
Birmingham Snow H;7010060;0;0;
Birnau-Maurach;8000987;0;0;BOD
Birnbaum, Steinwiese;464882;464882;0;
Birnova;5361783;5300135;0;
Birobidshan;2095863;2000389;2034400;
Birr;8502247;8502247;0;
Birresborn;8000989;8000989;0;VRT
Birrwil;8580073;8502033;0;
Birzava;5371638;5321638;0;
Birzesti;5360701;5360701;0;
Bisamberg;8102648;8100689;0;
Bisceglie;8311113;8300274;8300606;
Bischheim(F);8736217;8700712;0;
Bischheim-Gersdorf;8011199;8011199;0;VVO
Bischkek 1;5924663;5900007;5900898;
Bischkek 2;5932663;5900001;5900000;
Bischoffsheim;8749817;8700783;0;
Bischofsgrün;8000994;0;0;VGN
Bischofsheim(Rhön);8000995;0;0;
Bischofshofen;8101134;8100042;8100308;
Bischofshofen Bahnho;8174451;8174451;0;
Bischofswerda;8010049;8010049;0;VON
Bischofswiesen;8000997;8000997;8083185;
Bischofszell Nord;8588073;8506215;0;
Bischofszell Stadt;8596073;8506213;0;
Bischtroff Sur Sa;8721543;0;0;
Bischtroff-sur-Sarre;8742617;8700792;0;
Bischweier;8000998;8000998;0;KVV
Bischwiller;8721361;8700428;0;
Biser;2040663;2000390;2030089;
Biser(BG);5250327;5200327;0;
Bishop Auckland;7078350;7000240;0;
Bishopbriggs;7099400;7000342;0;
Bisingen;8000999;8000999;0;NAL
Biskamja;2072646;2001946;0;
Biskupice k. Kluczb.;5157850;5100452;0;
Biskupice Lubelskie;5121130;5100488;0;
Biskupice Olawskie;5131530;5100519;0;
Biskupice u Jevicka;5458042;5400483;0;
Biskupice u Luhacovi;5466042;5400484;5434765;
Biskupice Wlkp;5180410;5100635;0;
Biskupiec Pomorski;5125130;5100538;5100301;
Biskupiec Resz.;5100974;0;0;
Biskupnica;5183450;5100475;0;
Bismarckplatz, Heide;518145;518145;0;
Bispebjerg;8600739;0;0;
Bispebjerg st;8652981;8602981;0;
Bissegem;8896388;8800347;0;
Bissendorf;8001000;8001000;0;GVH
Bissendorf (TGem);8040408;0;0;
Bistagno;8335081;8301213;0;
Bistrica ob Dravi;7943287;7900077;0;
Bistrita Nord;5342967;5300142;5342967;
Bistrjagi 2;2020822;2001994;0;
Bisuschio-Viggiu;8379161;8301269;0;
Bitburg-Erdorf;8001828;8001828;8054285;VRT
Bitche;8719382;8700530;0;
Bitche Camp;8719383;0;0;
Bitche-Camp;8720217;8700710;0;
Bitetto-Palo Col.;8311501;0;0;
Bitetto-Palo d.Colle;8383825;8302390;8300669;
Bitola;6561822;0;0;
Bitovcice;5482042;5400486;0;
Bitsch;8532873;8501677;0;
Bitschwiller(H-Rhin);8761017;8700725;0;
Bittelbronn;8001002;8001002;0;VGF
Bittelbronn Bahnüber;815066;815066;0;
Bitterfeld;8010050;8010050;8006630;
Bitterfeld Busbahnho;8071740;8071740;0;
Bitterne;7059450;7000368;0;
Bitzfeld;8001005;8001005;0;HNV
Bivio d'Aurisina;8388681;8301190;0;
Bizovac;7871903;7800062;7800302;
Bizusa;5391341;5341341;0;
Bjala;5262000;5200005;0;
Bjal Briag;5250318;5200318;0;
Bjalo Pole;5250072;5200072;0;
Bjarnum;7400311;0;0;
Bjarnum Station;7451003;7401001;0;
Bjelovar;7873307;0;0;
Bjelovar Centralst.;7889003;7889003;0;
Bjerka;7650646;7600271;7601361;
Bjerringbro;8600172;0;0;
Bjerringbro st;8650221;8600221;8600172;
