BHF;EBHF;EVA;EPA;Vbd
Acciano;8353278;8300798;0;
Accolay Le Pont;8757081;8707006;0;
Accous;8739666;8702617;0;
Accrington;7025520;7000025;0;
Acerra;8309215;8300814;0;
Achalmstraße, Holzge;363244;363244;0;
Acharne;7328392;7300124;0;
Acharting;8198782;8100604;0;
Achau;8103193;8100205;0;
Achau Bahnhof (Bahns;8177365;8177365;0;
Achener Weg, Isny im;490163;490163;0;
Achen, Isny im Allgä;998614;998614;0;
Achenlohe;8102044;8100602;0;
Achenlohe Lichteneck;8174121;8174121;0;
Achères Grand Cormie;8747666;8702618;0;
Achères Ville;8755666;8702619;0;
Achern;8000412;8000412;8077105;TGO
Achern Stadt;8007001;8007001;0;401
Acheux-Franleu;8748857;8700573;0;
Achiet;8749657;8700583;0;
Achim;8000413;8000413;8028128;VBN
Achinsk 1;2088000;2000334;2038210;
Achkarren;8007291;8007291;0;478
Achleitnersdlg.;8101660;0;0;
Achleitnersiedlung;8174776;8101955;0;
Achleitnersiedlung B;8186016;8186016;0;
Achmer;8000414;8000414;0;
Achseten, Bettbach;8576317;8576314;0;
Achseten, Bönigen;8588423;8588422;0;
Achseten, Hoher Steg;8576310;8576310;0;
Achseten, Kirche;8551087;8507850;0;
Achseten, Marchbach;8594920;8594920;0;
Achseten, Schmitten;8576314;8576311;0;
Achseten, Tregel;8576309;8576309;0;
Achter T'holt, Dahme;699726;699726;0;
Achterwehr;8000416;8000416;0;SHT
Achtirskaja;2086103;2000273;2064182;
Aciliu;5370830;5320830;0;
Acireale;8312328;8300297;8300701;
Acis;5394408;5344408;0;
Acla da Fontauna;8558305;8505180;0;
Acle;7072860;7000026;0;
A Coruna;7187560;7100029;7131412;
Acqua Acetosa;8354411;8302446;0;
Acquafredda;8335801;8301123;0;
Acquamela;8362411;8302447;0;
Acquanegra Cremonese;8351001;8301115;0;
Acquappesa;8369481;8301148;0;
Acquaviva-Castelterm;8369278;8300849;8300663;
Acquaviva d.Fonti;8311504;0;0;
Acquaviva d. Fonti;8399025;8302379;8300628;
Acqui Terme;8300867;8300656;8300044;
Acren;8886546;8800387;0;
Acs;5501230;5500155;5501230;
Acsad;4305249;0;0;
Acsad;5550157;5500157;0;
Acsa-Erdökürt;5560168;5500156;0;
Adabash;2241088;2201183;0;
Adacs;5576168;5500158;0;
Adadurovo;2073640;2004572;0;
Adamov;5497962;5400385;5433015;
Adamov zast.;5426762;5400386;0;
Adampol;2263008;2201556;0;
Adana;7506503;7500004;7506503;
Adand;5584168;5500159;0;
Adelboden, Hirschen;8576308;8576308;0;
Adelboden, Hirzboden;8576553;8507852;0;
Adelboden, Margeli;8576307;8576307;0;
Adelboden, Mineralqu;8543087;8576306;0;
Adelboden, Mühleport;8576305;8576305;0;
Adelboden, Neuweg;8557998;8507998;0;
Adelboden, Oey;8566305;8507853;0;
Adelboden, Post;8507851;8507851;0;
Adelebsen;8000418;8000418;8001261;VSN
Adelschlag;8000419;8000419;0;
Adelsdorf(Mittelfr);8000420;8000420;0;VGN
Adelsheim Nord;8000423;8000423;0;VRN
Adelsheim Ost;8000424;8000424;0;VRN
Ademia;9494747;9400088;0;
Adikaevka;2082520;2004683;0;
Adir;2782288;2700348;0;
Adjud;5350811;5300009;5350811;
Adjudu Vechi;5350885;5350885;0;
Adler;2053280;2000265;2064150;
Adlerplatz I, Bad Dü;501311;501311;0;
Adlerplatz II, Bad D;500730;500730;0;
Adlerplatz, Meßkirch;751234;751234;0;
Admont;8101455;8100161;8100728;
Adony;5592168;5500160;0;
Adorf(Erzgeb);8017139;8011002;0;429
Adorf Gasthof Zum Sc;8071809;8071809;0;
Adorf(Vogtl);8060001;8010001;8008355;
Adorf(Vogtl) NE;8017111;0;0;590
Ado-tymovo;2055425;2005421;0;
Adria;8305420;8300690;0;
Adrianowka;2022903;2000266;2050373;
Adrspach;5457350;5400387;0;
Aefligen;8590305;8508085;0;
Aelvsjoe;7400789;0;0;
Aerodrom;6231011;0;0;
Aeroport CDG TGV;8727149;0;0;
Aeroport Paris-Charl;8754997;8704997;8700610;
Aeroport Paris-Charl;8755053;8705053;0;
Aesch;8557441;8500117;0;
Aeschacher Markt, Li;990098;990098;0;
Afanasewo;2730903;2700008;2704994;
Affaltrach;8000431;8000431;0;HNV
Affoltern a/Albis;8502224;0;0;
Affoltern am Albis;8565441;8502224;0;
Affoltern-Weier;8598305;8508275;0;
Afidne;7360392;7300128;0;
Afife;9423547;9400089;0;
Africo Nuovo;8393278;8300834;0;
Afrikanda;2054903;2000269;2004716;
Afumati;5365017;5315017;0;
Afyon;7507502;0;0;
Aga;2078584;2002733;0;
Agadir;2762903;2700009;2708921;
Agard;5503244;5500162;0;
Agatharied;8007866;8000433;0;534
Agathenburg;8000434;8000434;0;HVV
Agay;8775755;0;0;
Agay (St-Raphael);8789657;8700588;0;
Agde;8778127;8700145;8700287;
Agen;8758600;8700062;8700074;
Agerdömajor oh.;5596168;5500210;0;
Aggsbach Markt;8135262;8100206;0;
Aghires;5350110;5300110;5332182;
Aghires hc.;5340152;5300406;0;
Agigea Ecluza Hm.;5350111;5300111;0;
Agigea Nord;5381016;5381016;0;
Agios Andreas;7337352;7300334;0;
Agirbiciu;5383825;5333825;0;
Aglasterhausen;8000543;8007445;0;VRN
Agliano-Castelnuevo;8327001;8301112;0;
Agnan;8763666;8702620;0;
Agno;8527105;8505395;0;
Agonac;8771666;8702621;0;
Agrigento Bassa;8362638;8300298;8300702;
Agrigento Centrale;8346638;8300296;8300700;
Agrigento C.le;8312216;0;0;
Agris;2070903;2000270;2060533;
Agropoli-Cast.;8311705;0;0;
Agropoli-Castellab.;8326638;8300343;8300784;
Ag. Stefanos;7344392;7300126;0;
Aguas Santas;9431547;9400090;0;
Aguda;9455547;9400093;0;
A Gudina;7172975;7100390;7131205;
Agueda;9463547;9400094;0;
Aguessac;8787666;8702623;0;
Aguilar de Campoo;7180975;7100391;7115114;
Aguilcourt-Variscour;8739337;8700652;0;
Aguim;9479547;9400096;0;
Agul;2059944;2003490;0;
Aha;8000436;8000436;8079115;RVF
Aha Gh Auerhahn, Sch;503223;503223;0;
Ahaus;8000437;8000437;0;VGM
Ahaus(Gem);8040169;0;0;
Ahlbeck;9000102;0;0;
Ahlbeck Grenze;8017121;8079084;8017457;444
Ahlbeck Ostseetherme;8017178;8087025;0;444
Ahlen(Gem);8040231;0;0;
Ahlen(Westf);8000441;8000441;8059098;VGM
Ahlhorn;8000442;8000442;8049001;VBN
Ahlten;8000443;8000443;0;GVH
Ahnatal-Casselbreite;8000457;0;0;NVV
Ahnatal Casselbreite;8050457;8000457;0;
Ahnatal-Heckersh.;8002675;8002675;0;NVV
Ahnatal-Weimar;8006286;8006286;0;NVV
Ahrain;8000444;0;0;
Ahrain Bahnhof, Esse;541349;541349;0;
Ahrbrück;8001209;8001209;0;VRM
Ahrensburg;8000446;8000446;8001446;HVV
Ahrensburg-Gartenh.;8000480;8000480;0;HVV
Ahrensburg West (U),;694058;694058;0;
Ahrensfelde;8011003;8011003;0;VBB
Ahrensfelde Friedhof;8011004;8011004;0;VBB
Ahrensfelde Nord;8011005;8011005;0;VBB
Ahrweiler;8000448;8000448;0;VRM
Ahrweiler Markt;8000449;8000449;0;VRM
Ähtäri/Etseri;1028000;1000001;1000265;
Ahunbabaeva;2950166;2900162;0;
Ahun Creuse;8795666;8702624;0;
Aichach;8000452;8000452;0;AVV
Aich-Assach;8101470;8100597;0;
Aich im Ennstal Ort;8172266;8172266;0;
Aich im Jauntal;8103827;8100611;0;
Aich(Niederbay);8000451;8000451;0;
Aichstetten;8000454;8000454;8001292;BOD
Aidenbach;8000455;0;0;VLP
Aielli;8338078;8300791;0;
Aigeltshofen, Isny i;459375;490149;0;
Aigen-Schlaegl;8101680;0;0;
Aigen-Schlägl;8151262;8100208;0;
Aigen-Schlägl Bahnho;8183197;8183197;0;
Aigle;8501400;8501400;8500025;
Aigle-Depot;8543105;8501484;0;
Aigle-Depot ASD;8551105;8501468;0;
Aigle, gare;8535105;8570600;0;
Aigle-Hopital;8574243;8530335;0;
Aigle-Parc Aventure;8567484;8517484;0;
Aigle Place-du-March;8559105;8501554;0;
Aiguebelette-le-Lac;8764810;8702467;0;
Aiguebelle;8754322;8702385;8700472;
Aigueblanche;8762322;8702386;0;
Aigueperse;8724466;8702625;0;
Aigues Mortes;8732466;8702626;0;
Aiguillon;8740466;8702627;8700698;
Ailleville;8767096;8705167;0;
Aillevillers;8718562;8700256;8700899;
Ailly-sur-Noye(Boves;8767257;8700605;0;
Ailly-sur-Somme(St-R;8753737;8700634;0;
Aimargues;8748466;8702628;0;
Aime-la-Plagne;8725073;8700431;8700150;
Aime La Plagne;8774176;0;0;
Ainring;8000459;8000459;8083106;
